N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Irrigation_Type,Fertilizer_Used,Previous_Crop,Recommended_Crop
122,55,74,4.54,58.9,Silt,0.77,0.67,25.31,35.15,1403.58,11.03,5.98,West,1947,Kharif,Sprinkler,176.38,Wheat,Sugarcane
112,37,25,7.03,25.98,Sandy,0.66,1.94,31.8,54.8,1800.84,4.23,16.17,Central,69,Zaid,Canal,180.05,Cotton,Rice
34,52,39,4.95,27.61,Clay,1.36,2.03,15.78,30.88,1336.62,11.45,18.55,West,2049,Kharif,Sprinkler,308.1,Pulses,Barley
126,35,82,7.14,39.97,Loamy,1.09,0.3,38.23,47.6,480.85,4.71,4.29,North,930,Rabi,Sprinkler,230.54,Cotton,Millet
91,64,51,8.2,33.97,Sandy,0.7,2.07,10.04,72.42,2535.23,11.21,4.41,Central,20,Kharif,Rainfed,63.73,Cotton,Wheat
40,57,70,8.38,20.66,Silt,0.27,2.01,10.05,42.17,2111.15,4.51,19.28,Central,250,Kharif,Rainfed,155.06,Rice,Wheat
122,38,83,5.44,43.02,Silt,1.14,0.2,28.77,89.92,2519.84,11.75,10.73,Central,852,Rabi,Drip,59.37,Pulses,Rice
141,36,86,7.74,26.71,Silt,0.66,1.71,20.24,32.9,1555.05,4.07,2.86,North,1198,Kharif,Rainfed,72.58,Pulses,Rice
94,27,57,5.91,42.69,Sandy,0.29,1.88,21.94,38.19,2416.78,11.72,2.44,East,1054,Kharif,Drip,249.01,Rice,Rice
107,69,71,8.1,29.18,Silt,1.0,1.35,16.64,77.21,2433.61,4.5,19.32,South,2445,Zaid,Drip,109.98,Maize,Wheat
136,83,93,7.65,45.01,Loamy,0.62,2.71,22.23,88.56,1141.63,5.0,9.21,South,219,Kharif,Rainfed,213.07,Vegetables,Sugarcane
119,78,102,4.8,43.39,Silt,0.64,1.05,34.84,87.24,211.4,11.7,18.9,South,1065,Kharif,Sprinkler,163.77,Pulses,Millet
123,83,73,6.13,35.44,Sandy,0.82,0.29,30.98,77.89,2607.4,10.33,11.96,North,1183,Rabi,Sprinkler,76.7,Maize,Rice
150,30,66,5.85,45.24,Sandy,1.13,2.05,12.84,88.38,716.97,10.72,14.72,South,15,Zaid,Rainfed,323.78,Wheat,Potato
72,33,77,7.64,33.05,Silt,0.56,1.86,11.7,80.45,2632.4,7.45,6.3,Central,1034,Kharif,Rainfed,158.92,Maize,Wheat
21,12,55,6.14,15.81,Sandy,0.31,2.97,25.19,33.48,1931.24,4.64,2.28,West,2157,Rabi,Rainfed,326.09,Wheat,Rice
107,71,37,7.24,19.11,Clay,0.75,0.77,31.9,80.74,1977.28,5.19,15.94,North,1344,Zaid,Drip,176.27,Wheat,Rice
57,11,110,6.91,22.3,Sandy,0.27,1.25,29.93,59.03,892.21,11.39,4.2,East,2100,Rabi,Canal,330.13,Cotton,Barley
149,75,86,8.4,13.16,Clay,1.11,1.44,35.92,57.41,1327.3,7.08,14.61,South,358,Rabi,Canal,214.57,Vegetables,Sugarcane
40,51,12,8.25,45.57,Sandy,1.45,2.6,14.0,30.15,1073.86,10.05,2.44,North,1717,Kharif,Canal,205.05,Vegetables,Wheat
77,43,46,6.21,28.37,Sandy,1.06,1.3,28.17,67.22,732.98,9.52,11.93,South,794,Zaid,Canal,167.25,Pulses,Millet
41,51,57,7.39,14.68,Sandy,0.56,2.34,32.98,70.3,2228.62,7.79,15.31,Central,144,Kharif,Sprinkler,307.77,Wheat,Rice
108,29,28,7.82,51.0,Silt,0.44,0.56,38.14,77.44,468.36,10.88,1.36,East,78,Kharif,Drip,239.82,Pulses,Millet
68,77,101,8.1,44.18,Sandy,0.5,1.29,13.03,49.56,1633.51,9.24,8.38,South,910,Kharif,Sprinkler,64.55,Cotton,Wheat
78,54,92,4.77,32.61,Loamy,0.49,0.55,17.19,37.69,1700.82,9.92,12.18,Central,1025,Zaid,Drip,296.8,Rice,Barley
34,84,26,5.71,22.37,Silt,0.61,2.85,20.64,56.39,2875.08,10.7,16.17,West,525,Kharif,Drip,179.62,Cotton,Rice
70,51,91,5.78,17.59,Clay,0.33,0.62,26.22,51.74,2634.3,5.78,5.9,South,1660,Kharif,Drip,262.65,Rice,Rice
127,56,91,6.24,32.92,Loamy,1.36,1.32,22.26,75.19,1576.73,6.35,16.51,Central,1061,Kharif,Drip,181.48,Wheat,Rice
74,14,96,5.18,54.26,Loamy,1.35,0.34,35.83,43.77,2563.71,10.04,13.31,North,631,Rabi,Canal,234.99,Wheat,Rice
83,58,49,6.48,19.42,Loamy,1.0,2.77,38.52,38.29,2413.62,10.63,7.59,East,1700,Kharif,Sprinkler,333.64,Rice,Rice
150,46,59,7.15,38.43,Loamy,0.28,1.91,12.1,56.41,278.11,8.78,6.69,Central,1725,Zaid,Drip,211.77,Wheat,Wheat
70,43,82,6.49,58.08,Sandy,1.25,2.89,30.99,67.68,2781.98,11.95,14.34,Central,1163,Kharif,Canal,72.29,Vegetables,Rice
154,82,38,7.16,41.86,Sandy,0.28,0.22,13.43,46.86,2126.13,11.02,14.76,North,714,Zaid,Rainfed,277.32,Rice,Wheat
40,79,60,4.77,32.0,Loamy,0.34,0.61,36.94,36.87,2081.47,10.4,13.1,Central,2416,Zaid,Drip,153.25,Wheat,Rice
92,27,51,8.0,45.82,Silt,0.62,1.2,14.26,56.35,2197.75,5.96,9.44,South,1116,Kharif,Canal,253.54,Pulses,Wheat
37,87,38,8.26,51.23,Loamy,0.76,1.9,39.75,87.71,829.33,6.66,1.42,North,642,Zaid,Canal,96.13,Wheat,Millet
151,28,75,6.97,39.53,Clay,0.66,1.06,22.83,88.04,281.68,6.89,11.91,West,1865,Zaid,Drip,219.8,Rice,Maize
108,87,26,8.03,53.59,Loamy,0.41,2.16,21.46,72.52,849.16,4.74,12.63,Central,9,Rabi,Canal,154.93,Rice,Wheat
79,49,118,5.03,35.73,Sandy,0.35,0.58,27.59,76.63,2424.82,9.85,5.56,West,1417,Kharif,Drip,145.51,Cotton,Rice
